PV_kWp,Bateria_kWh,Gerador_kW,LCOE_R$/kWh,Penetr.Renov_%,Autonomia_h,CAPEX_R$,OPEX_Anual_R$,LCC_R$,Combustivel_Anual_L,Horas_Gerador_h,Curtailment_kWh,Carga_Nao_Atendida_kWh,Energia_Importada_kWh,Energia_Exportada_kWh,Autoconsumo_%,LCOS_R$/kWh
15,20,15,0.5713940490483896,54.72749784366707,4.247936373326481,102000,9297.822322004065,201252.1723286564,0,0,0,0,16841.79049726215,1106.680071476039,48.95629677135832,0.9345380442623451
15,20,20,0.5955272018025363,54.72749784366707,4.247936373326481,110500,9297.822322004065,209752.1723286564,0,0,0,0,16841.79049726215,1106.680071476039,48.95629677135832,0.9345380442623451
20,10,10,0.6216355696935549,72.9699971248908,2.12396818666324,99000,11048.88594222654,218947.8679484724,0,0,0,0,16829.68723935502,7314.960493530258,48.99297904126376,0.7023487083337954
20,10,15,0.6457687224477017,72.9699971248908,2.12396818666324,107500,11048.88594222654,227447.8679484724,0,0,0,0,16829.68723935502,7314.960493530258,48.99297904126376,0.7023487083337954
20,15,10,0.6481159958375399,72.9699971248908,3.185952279994861,105000,11298.05860064379,228274.607165552,0,0,0,0,15779.39760523127,6022.781990444463,52.1761722057344,0.7400609129608942
20,20,10,0.6651232638740534,72.9699971248908,4.247936373326481,111000,11547.29417696718,234264.7809229168,0,0,0,0,14827.02751918719,4851.429974804493,55.06259310283394,0.7088728987127807
20,10,20,0.6699018752018483,72.9699971248908,2.12396818666324,116000,11048.88594222654,235947.8679484724,0,0,0,0,16829.68723935502,7314.960493530258,48.99297904126376,0.7023487083337954
20,15,15,0.6722491485916866,72.9699971248908,3.185952279994861,113500,11298.05860064379,236774.607165552,0,0,0,0,15779.39760523127,6022.781990444463,52.1761722057344,0.7400609129608942
20,20,15,0.6892564166282001,72.9699971248908,4.247936373326481,119500,11547.29417696718,242764.7809229168,0,0,0,0,14827.02751918719,4851.429974804493,55.06259310283394,0.7088728987127807
20,15,20,0.6963823013458332,72.9699971248908,3.185952279994861,122000,11298.05860064379,245274.607165552,0,0,0,0,15779.39760523127,6022.781990444463,52.1761722057344,0.7400609129608942
20,20,20,0.7133895693823469,72.9699971248908,4.247936373326481,128000,11547.29417696718,251264.7809229168,0,0,0,0,14827.02751918719,4851.429974804493,55.06259310283394,0.7088728987127807
25,10,10,0.7398340448213495,91.21249640611185,2.12396818666324,116500,13302.23321403297,260578.8578494345,0,0,0,0,16188.68719263326,12680.02863996746,50.93570693351074,0.6902867429901901
25,10,15,0.7639671975754961,91.21249640611185,2.12396818666324,125000,13302.23321403297,269078.8578494345,0,0,0,0,16188.68719263326,12680.02863996746,50.93570693351074,0.6902867429901901
25,15,10,0.7673687250973459,91.21249640611185,3.185952279994861,122500,13551.24183052909,270276.9186345408,0,0,0,0,14871.29463517811,11058.07253074546,54.92842936698912,0.690317319648528
25,10,20,0.7881003503296429,91.21249640611185,2.12396818666324,133500,13302.23321403297,277578.8578494345,0,0,0,0,16188.68719263326,12680.02863996746,50.93570693351074,0.6902867429901901
25,15,15,0.7915018778514925,91.21249640611185,3.185952279994861,131000,13551.24183052909,278776.9186345408,0,0,0,0,14871.29463517811,11058.07253074546,54.92842936698912,0.690317319648528
25,20,10,0.7944436047459774,91.21249640611185,4.247936373326481,128500,13800.32367453195,279813.0318543033,0,0,0,0,13671.23320099739,9580.949637947891,58.56554738673986,0.7030914762292846
25,15,20,0.8156350306056391,91.21249640611185,3.185952279994861,139500,13551.24183052909,287276.9186345408,0,0,0,0,14871.29463517811,11058.07253074546,54.92842936698912,0.690317319648528
25,20,15,0.8185767575001239,91.21249640611185,4.247936373326481,137000,13800.32367453195,288313.0318543033,0,0,0,0,13671.23320099739,9580.949637947891,58.56554738673986,0.7030914762292846
25,20,20,0.8427099102542707,91.21249640611185,4.247936373326481,145500,13800.32367453195,296813.0318543033,0,0,0,0,13671.23320099739,9580.949637947891,58.56554738673986,0.7030914762292846
30,10,10,0.8578443133704612,109.4549956873341,2.12396818666324,134000,15556.58503847665,302143.5590257072,0,0,0,0,15700.20398595224,18210.62902052402,52.41619036774264,0.6902867429901889
30,10,15,0.8819774661246077,109.4549956873341,2.12396818666324,142500,15556.58503847665,310643.5590257072,0,0,0,0,15700.20398595224,18210.62902052402,52.41619036774264,0.6902867429901889
30,15,10,0.8853798485658451,109.4549956873341,3.185952279994861,140000,15805.59392736554,311841.9209241768,0,0,0,0,14382.60398595224,16588.40679830178,56.40954151321566,0.6902867429901884
30,10,20,0.9061106188787544,109.4549956873341,2.12396818666324,151000,15556.58503847665,319143.5590257072,0,0,0,0,15700.20398595224,18210.62902052402,52.41619036774264,0.6902867429901889
30,15,15,0.9095130013199917,109.4549956873341,3.185952279994861,148500,15805.59392736554,320341.9209241768,0,0,0,0,14382.60398595224,16588.40679830178,56.40954151321566,0.6902867429901884
30,20,10,0.9129153754246745,109.4549956873341,4.247936373326481,146000,16054.60254119111,321540.2798864071,0,0,0,0,13064.99848468594,14966.18457607956,60.40290933179742,0.6902867429901887
30,15,20,0.9336461540741383,109.4549956873341,3.185952279994861,157000,15805.59392736554,328841.9209241768,0,0,0,0,14382.60398595224,16588.40679830178,56.40954151321566,0.6902867429901884
30,20,15,0.9370485281788211,109.4549956873341,4.247936373326481,154500,16054.60254119111,330040.2798864071,0,0,0,0,13064.99848468594,14966.18457607956,60.40290933179742,0.6902867429901887
30,20,20,0.9611816809329679,109.4549956873341,4.247936373326481,163000,16054.60254119111,338540.2798864071,0,0,0,0,13064.99848468594,14966.18457607956,60.40290933179742,0.6902867429901887
