PV_kWp,Bateria_kWh,Gerador_kW,LCOE_R$/kWh,Penetr.Renov_%,Autonomia_h,CAPEX_R$,OPEX_Anual_R$,LCC_R$,Combustivel_Anual_L,Horas_Gerador_h,Curtailment_kWh,Carga_Nao_Atendida_kWh,Energia_Importada_kWh,Energia_Exportada_kWh,Autoconsumo_%,LCOS_R$/kWh
20,10,20,2.121825910751153,50.79998660126537,2.12396818666324,116000,54161.81209339388,747333.7787697823,5094.124937445213,5275,7314.960493530258,0,0,0,100,0.7023487083337954
25,15,20,2.126552995022813,57.69794980063521,3.185952279994861,139500,52378.31963087782,748998.3281122438,4534.510712442741,4827,11058.07253074546,0.01714526517369919,0,0,100,0.690317319648528
11.2,20,15,2.133075386177906,40.86319838993892,4.247936373326481,88700,57348.41618501762,751295.7517240893,5770.833259233481,6619,0,0.01026836373619078,0,0,100,1.840642259939788
30,20,20,2.164150936477847,64.09583484925901,4.247936373326481,163000,51878.19763611002,762240.8651516319,4074.799636324618,4696,14966.18457607956,0.01385762951073133,0,0,100,0.6902867429901887
30,10,15,2.190031286972687,54.2626487998921,2.12396818666324,142500,55215.39321808545,771356.374956724,4535.598956628532,5117,18210.62902052402,0.008356363186940996,0,0,100,0.6902867429901889
30,15,20,2.205513151095738,59.17924182457558,3.185952279994861,157000,53865.16221808545,776809.2808848564,4402.024956628531,4751,16588.40679830178,0.008356363186940996,0,0,100,0.6902867429901884
25,10,20,2.207021363074798,52.7821633049851,2.12396818666324,133500,55391.25202050792,777340.475964491,4923.884926231987,5193,12680.02863996746,0.009036279864038654,0,0,100,0.6902867429901901
11.2,10,20,2.2386571342285,39.50390112744784,2.12396818666324,85200,59584.14528028887,788482.9600543806,6191.099273890596,6621,448.4980177835336,0.01026836373618978,0,0,100,1.164866470485039
11.2,15,20,2.246763595509324,40.78689644573208,3.185952279994861,91200,59290.31920942709,791338.156809856,6107.741416834938,6620,25.17570782647263,0.01026836373619079,0,0,100,1.399508343594353
11.2,20,20,2.270117835714295,40.86319838993892,4.247936373326481,97200,59499.59118501757,799563.8114512408,6101.783259233473,6619,0,0.01026836373619078,0,0,100,1.840642259939788
30,10,20,2.299928178467835,54.2626487998921,2.12396818666324,151000,56878.41821808551,810063.4328635943,4791.448956628539,5117,18210.62902052402,0.008356363186940996,0,0,100,0.6902867429901889
